-395;-395;-5;0.06
-375;-395;-5;0.09
-365;-395;-5;0.09
-345;-395;-5;0.06
-335;-395;-5;0.09
-325;-395;-5;0.06
-315;-395;-5;0.09
-295;-395;-5;0.12
-285;-395;-5;0.09
-265;-395;-5;0.12
-245;-395;-5;0.06
-235;-395;-5;0.06
-205;-395;-5;0.03
-195;-395;-5;0.06
-165;-395;-5;0.06
-155;-395;-5;0.03
-135;-395;-5;0.18
-115;-395;-5;0.09
-105;-395;-5;0.09
-85;-395;-5;0.12
-65;-395;-5;0.09
-55;-395;-5;0.09
-35;-395;-5;0.06
-25;-395;-5;0.06
-15;-395;-5;0.09
-5;-395;-5;0.09
15;-395;-5;0.03
25;-395;-5;0.03
45;-395;-5;0.15
65;-395;-5;0.09
75;-395;-5;0.12
95;-395;-5;0.12
115;-395;-5;0.12
125;-395;-5;0.09
145;-395;-5;0.06
155;-395;-5;0.06
175;-395;-5;0.09
195;-395;-5;0.06
205;-395;-5;0.06
225;-395;-5;0.18
245;-395;-5;0.03
255;-395;-5;0.09
285;-395;-5;0.03
305;-395;-5;0.06
335;-395;-5;0.03
355;-395;-5;0.12
375;-395;-5;0.09
385;-395;-5;0.03
-395;-385;-5;0.24
-385;-385;-5;0.24
-375;-385;-5;0.18
-365;-385;-5;0.36
-345;-385;-5;0.21
-335;-385;-5;0.18
-315;-385;-5;0.18
-305;-385;-5;0.3
-295;-385;-5;0.33
-285;-385;-5;0.24
-275;-385;-5;0.18
-265;-385;-5;0.24
-245;-385;-5;0.33
-225;-385;-5;0.24
-215;-385;-5;0.24
-205;-385;-5;0.03
-195;-385;-5;0.18
-185;-385;-5;0.24
-175;-385;-5;0.3
-165;-385;-5;0.18
-145;-385;-5;0.21
-135;-385;-5;0.33
-125;-385;-5;0.18
-105;-385;-5;0.15
-95;-385;-5;0.21
-85;-385;-5;0.24
-75;-385;-5;0.21
-65;-385;-5;0.21
-55;-385;-5;0.21
-45;-385;-5;0.42
-35;-385;-5;0.24
-25;-385;-5;0.15
-15;-385;-5;0.21
-5;-385;-5;0.12
5;-385;-5;0.21
15;-385;-5;0.24
25;-385;-5;0.27
35;-385;-5;0.21
55;-385;-5;0.27
75;-385;-5;0.18
85;-385;-5;0.33
95;-385;-5;0.21
115;-385;-5;0.21
125;-385;-5;0.27
145;-385;-5;0.27
155;-385;-5;0.24
175;-385;-5;0.18
195;-385;-5;0.36
205;-385;-5;0.18
215;-385;-5;0.24
225;-385;-5;0.18
235;-385;-5;0.21
245;-385;-5;0.21
255;-385;-5;0.21
265;-385;-5;0.27
275;-385;-5;0.27
285;-385;-5;0.12
295;-385;-5;0.27
305;-385;-5;0.3
315;-385;-5;0.36
325;-385;-5;0.3
335;-385;-5;0.24
345;-385;-5;0.3
365;-385;-5;0.3
375;-385;-5;0.3
385;-385;-5;0.18
395;-385;-5;0.12
-395;-375;-5;0.15
-385;-375;-5;0.21
-375;-375;-5;0.15
-365;-375;-5;0.18
-355;-375;-5;0.27
-345;-375;-5;0.09
-335;-375;-5;0.06
-325;-375;-5;0.12
-315;-375;-5;0.18
-305;-375;-5;0.24
-295;-375;-5;0.15
-285;-375;-5;0.21
-265;-375;-5;0.15
-255;-375;-5;0.18
-235;-375;-5;0.21
-225;-375;-5;0.21
-215;-375;-5;0.18
-205;-375;-5;0.21
-195;-375;-5;0.21
-185;-375;-5;0.15
-175;-375;-5;0.24
-165;-375;-5;0.18
-155;-375;-5;0.15
-135;-375;-5;0.21
-105;-375;-5;0.27
-95;-375;-5;0.27
-85;-375;-5;0.06
-75;-375;-5;0.3
-65;-375;-5;0.15
-35;-375;-5;0.18
-25;-375;-5;0.27
-15;-375;-5;0.18
-5;-375;-5;0.18
5;-375;-5;0.39
15;-375;-5;0.03
25;-375;-5;0.27
35;-375;-5;0.3
45;-375;-5;0.18
75;-375;-5;0.33
85;-375;-5;0.18
95;-375;-5;0.24
105;-375;-5;0.42
115;-375;-5;0.18
125;-375;-5;0.12
135;-375;-5;0.24
145;-375;-5;0.24
155;-375;-5;0.3
165;-375;-5;0.21
175;-375;-5;0.21
185;-375;-5;0.39
195;-375;-5;0.09
205;-375;-5;0.33
225;-375;-5;0.27
235;-375;-5;0.18
255;-375;-5;0.21
265;-375;-5;0.15
275;-375;-5;0.15
295;-375;-5;0.12
305;-375;-5;0.21
315;-375;-5;0.24
325;-375;-5;0.03
335;-375;-5;0.15
345;-375;-5;0.18
355;-375;-5;0.18
365;-375;-5;0.15
375;-375;-5;0.18
385;-375;-5;0.24
395;-375;-5;0.09
-395;-365;-5;0.09
-385;-365;-5;0.18
-375;-365;-5;0.27
-365;-365;-5;0.39
-355;-365;-5;0.21
-345;-365;-5;0.33
-335;-365;-5;0.18
-325;-365;-5;0.21
-315;-365;-5;0.21
-285;-365;-5;0.27
-275;-365;-5;0.12
-265;-365;-5;0.18
-255;-365;-5;0.15
-245;-365;-5;0.06
-235;-365;-5;0.21
-225;-365;-5;0.3
-215;-365;-5;0.12
-205;-365;-5;0.18
-195;-365;-5;0.09
-185;-365;-5;0.3
-175;-365;-5;0.24
-165;-365;-5;0.21
-155;-365;-5;0.24
-145;-365;-5;0.24
-135;-365;-5;0.3
-125;-365;-5;0.21
-115;-365;-5;0.15
-105;-365;-5;0.12
-95;-365;-5;0.33
-85;-365;-5;0.12
-65;-365;-5;0.24
-55;-365;-5;0.24
-45;-365;-5;0.24
-35;-365;-5;0.12
-25;-365;-5;0.18
-15;-365;-5;0.21
-5;-365;-5;0.3
15;-365;-5;0.27
25;-365;-5;0.21
35;-365;-5;0.21
45;-365;-5;0.18
65;-365;-5;0.27
75;-365;-5;0.3
85;-365;-5;0.12
95;-365;-5;0.24
115;-365;-5;0.27
135;-365;-5;0.18
145;-365;-5;0.27
155;-365;-5;0.3
165;-365;-5;0.21
175;-365;-5;0.3
185;-365;-5;0.24
195;-365;-5;0.42
205;-365;-5;0.21
215;-365;-5;0.24
225;-365;-5;0.18
235;-365;-5;0.12
255;-365;-5;0.33
265;-365;-5;0.12
275;-365;-5;0.21
285;-365;-5;0.27
295;-365;-5;0.21
305;-365;-5;0.27
325;-365;-5;0.33
335;-365;-5;0.27
345;-365;-5;0.09
355;-365;-5;0.15
365;-365;-5;0.24
375;-365;-5;0.3
385;-365;-5;0.3
